city,country,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed
gulariya,NP,28.2333,81.3333,52.0,80,0,2.19
natal,BR,-5.795,-35.2094,79.74,78,40,10.36
pedra azul,BR,-16.0053,-41.2972,64.31,95,46,3.98
saldanha,ZA,-33.0117,17.9442,65.91,81,76,11.99
amapa,BR,1.0,-52.0,72.27,98,100,2.62
mareeba,AU,-17.0,145.4333,85.05,64,96,5.99
brunico,IT,46.7958,11.9364,28.33,95,91,1.45
suwannaphum,TH,15.6035,103.8021,74.28,60,20,11.5
chiredzi,ZW,-21.05,31.6667,70.54,98,0,3.76
hundorp,NO,61.5552,9.9407,9.34,84,64,5.17
bilma,NE,18.6853,12.9164,59.16,30,26,7.36
hualmay,PE,-11.0964,-77.6139,70.77,78,80,7.67
gotsu,JP,35.0,132.2167,44.6,45,40,16.11
doha,QA,25.2867,51.5333,67.01,82,0,9.22
visnes,NO,59.3556,5.2242,31.3,93,90,10.36
fergus falls,US,46.283,-96.0776,21.69,86,90,18.41
kampot,KH,10.6167,104.1833,79.56,65,0,12.66
iralaya,HN,15.0,-83.2333,76.14,83,11,10.13
sebrovo,RU,50.0981,43.2976,34.02,90,100,20.36
penzance,GB,50.1186,-5.5371,50.23,100,90,24.16
marienburg,PL,54.0359,19.0266,25.65,91,100,4.47
fandriana,MG,-20.2333,47.3833,59.27,91,76,2.93
bar harbor,US,44.3876,-68.2039,16.07,73,90,14.97
linqiong,CN,30.4159,103.4609,47.57,93,40,4.47
nadvoitsy,RU,63.8667,34.3167,22.46,98,100,8.08
luklukan,PH,14.3254,122.7124,76.53,68,82,19.6
wanning,CN,18.8003,110.3967,70.86,79,82,11.25
gayeri,BF,12.6497,0.4931,69.55,22,0,9.95
vierzon,FR,47.2101,2.0625,47.44,100,90,9.22
le havre,FR,49.4938,0.1077,46.4,100,75,9.22
la libertad,EC,-2.2333,-80.9,78.73,82,45,8.48
werda,BW,-25.2667,23.2833,71.76,75,85,4.16
medicine hat,CA,50.0501,-110.6683,9.81,79,90,4.61
dolgoderevenskoye,RU,55.3444,61.3444,5.0,92,75,6.71
aguimes,ES,27.9054,-15.4461,64.99,82,20,20.71
zabol,AF,32.25,67.25,33.37,67,7,0.98
dunedin,NZ,-45.8742,170.5036,55.0,72,3,21.0
loukhi,RU,66.0764,33.0381,11.48,96,100,9.64
adrar,MR,20.5022,-10.0711,62.69,27,0,10.8
colac,AU,-38.3333,143.5833,59.34,1,62,1.99
cobija,BO,-11.0267,-68.7692,73.36,90,31,2.77
beringovskiy,RU,63.05,179.3167,-17.12,83,0,9.37
bahawalpur,PK,29.4,71.6833,53.29,35,1,0.65
wodonga,AU,-36.1167,146.8833,81.25,69,40,9.22
pitimbu,BR,-7.4706,-34.8086,78.8,89,75,8.05
machilipatnam,IN,16.1667,81.1333,73.4,83,40,5.64
rocha,UY,-34.4833,-54.3333,65.61,88,4,3.65
caracoli,CO,6.4119,-74.7606,70.09,89,82,3.65
hamilton,US,39.1834,-84.5333,25.38,68,1,3.44
te anau,NZ,-45.4167,167.7167,65.03,43,0,2.35
tuatapere,NZ,-46.1333,167.6833,65.68,46,0,6.13
dzilam gonzalez,MX,21.2833,-88.9333,66.45,77,0,7.0
westlock,CA,54.1502,-113.8688,-9.4,84,0,2.3
labuan,MY,5.2767,115.2417,86.0,62,20,1.14
el prat de llobregat,ES,41.3278,2.0947,53.28,93,0,2.3
aranda de duero,ES,41.6704,-3.6892,46.98,86,97,14.72
katima mulilo,NA,-17.5,24.2667,67.59,94,100,4.05
rebrikha,RU,53.0733,82.3408,16.21,97,100,8.55
vuktyl,RU,63.8567,57.3094,-8.81,88,100,9.82
turmalina,BR,-17.2856,-42.73,64.81,91,1,2.48
ogulin,HR,45.2661,15.2286,41.56,93,75,6.91
maceio,BR,-9.6658,-35.7353,75.2,94,75,2.3
belmonte,BR,-15.8631,-38.8828,78.8,73,20,11.5
porto novo,BJ,6.4965,2.6036,80.6,83,40,5.75
adre,TD,13.4667,22.2,62.19,29,0,20.2
sanghar,PK,26.0466,68.9481,44.6,87,0,2.3
chernyshevskiy,RU,63.0128,112.4714,-42.99,81,68,3.49
paka,MY,4.6374,103.4368,80.31,78,40,6.91
kavaratti,IN,10.5669,72.642,80.6,72,5,11.16
marsa matruh,EG,31.3525,27.2453,55.4,58,40,10.36
sept-iles,CA,50.2001,-66.3821,9.25,67,0,8.05
whitianga,NZ,-36.8333,175.7,67.28,47,14,11.07
carbondale,US,37.7273,-89.2168,35.4,64,1,6.91
nalut,LY,30.3333,10.85,51.85,45,0,6.4
hrodna,BY,53.6884,23.8258,16.07,97,81,8.46
tilichiki,RU,60.4667,166.1,-0.92,94,100,11.72
flinders,AU,-34.5833,150.8552,75.99,86,85,11.99
cananea,MX,30.95,-110.3,46.67,58,10,17.25
lima,PE,-12.0432,-77.0282,72.59,78,0,11.5
tres rios,BR,-22.1167,-43.2092,69.01,85,97,1.01
vilyuysk,RU,63.7553,121.6247,-42.47,79,100,2.44
aripuana,BR,-9.1667,-60.6333,73.6,97,100,1.66
lishui,CN,28.4604,119.9103,55.87,49,0,2.1
sol-iletsk,RU,51.1631,54.9918,26.51,98,96,6.91
skibbereen,IE,51.55,-9.2667,42.8,100,75,29.93
kathu,TH,7.9178,98.3332,83.91,65,20,12.66
krasnovishersk,RU,60.4078,57.082,6.46,91,100,7.36
komsomolskiy,UZ,40.4272,71.7189,26.6,59,67,6.91
carinhanha,BR,-14.3047,-43.765,75.78,51,61,4.12
marshalltown,US,42.0494,-92.908,25.63,80,1,18.41
rio claro,BR,-22.4114,-47.5614,74.25,83,0,1.14
qaqortoq,GL,60.7167,-46.0333,44.6,29,75,31.07
varzea alegre,BR,-5.35,-40.3833,76.15,76,100,2.98
itarema,BR,-2.9248,-39.9167,78.91,84,97,11.34
dingle,PH,10.9995,122.6711,76.93,85,100,17.02
aden,YE,12.7794,45.0367,73.53,77,3,11.16
baillif,GP,16.0202,-61.7463,73.4,88,0,3.44
bathurst,AU,-33.4166,149.5806,78.01,65,69,1.99
kununurra,AU,-15.7667,128.7333,82.4,94,75,10.36
darasun,RU,51.6667,114.0,-25.6,68,40,2.33
balykshi,KZ,47.0667,51.8667,21.2,100,59,6.71
yerbogachen,RU,61.2767,108.0108,-40.47,79,52,7.16
madingou,CG,-4.1536,13.55,71.37,95,100,0.38
astana,KZ,51.1801,71.446,-2.2,84,4,6.71
margate,GB,51.3813,1.3862,45.55,90,100,7.09
urusha,RU,54.05,122.9,-23.37,78,3,1.34
olafsvik,IS,64.8945,-23.7142,29.35,97,100,18.41
voh,NC,-20.9667,164.7,81.86,71,74,7.74
phangnga,TH,8.4509,98.5298,81.18,65,20,12.66
keetmanshoop,NA,-26.5833,18.1333,73.26,21,0,2.59
san cristobal,VE,7.7669,-72.225,64.08,78,16,1.74
ust-nera,RU,64.5667,143.2,-15.12,80,100,3.49
akcakoca,TR,41.0866,31.1162,41.88,63,100,9.19
gusinoye ozero,RU,51.1144,106.2614,2.77,89,96,3.44
martil,MA,35.6166,-5.2752,59.0,82,75,6.91
ixtapa,MX,20.7,-105.2,72.79,88,40,2.93
port keats,AU,-14.25,129.55,80.44,86,100,9.55
maningrida,AU,-12.0667,134.2667,87.6,65,88,13.27
bibiani,GH,6.4635,-2.3194,71.74,94,91,1.39
miyako,JP,39.6367,141.9525,32.85,81,0,24.07
evergreen park,US,41.7206,-87.7017,29.34,59,90,8.05
shitanjing,CN,39.2342,106.3439,28.02,73,1,20.07
moissac,FR,44.1024,1.0945,49.64,100,90,9.22
pucallpa,PE,-8.3791,-74.5539,78.8,78,75,4.61
klang,MY,3.0333,101.45,84.38,69,20,1.14
ilhabela,BR,-23.7781,-45.3581,80.69,71,100,1.81
west wendover,US,40.7391,-114.0733,39.2,65,90,8.05
bonthe,SL,7.5264,-12.505,77.2,88,3,3.74
manokwari,ID,-0.8667,134.0833,83.1,64,89,2.86
casper,US,42.8666,-106.3131,37.2,52,1,12.66
filadelfia,US,39.9523,-75.1638,21.18,46,20,11.5
